Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method
4018,Handbag,4619.0,05-02-2023,,Credit Card
4115,Tunic,2456.0,11-07-2023,2.0,Credit Card
4019,Tank Top,2102.0,23-03-2023,4.1,Cash
4097,Leggings,3126.0,15-03-2023,3.2,Cash
3997,Wallet,3003.0,27-11-2022,4.7,Cash
4080,Onesie,2914.0,11-12-2022,4.5,Credit Card
4055,Jacket,2571.0,08-07-2023,1.3,Cash
3973,Trousers,2419.0,10-11-2022,4.6,Cash
4044,Jeans,4771.0,19-05-2023,4.1,Cash
4010,Loafers,4233.0,11-06-2023,,Credit Card
4108,Slippers,2356.0,19-03-2023,4.8,Credit Card
4067,Bowtie,4418.0,21-11-2022,3.4,Cash
4068,Pajamas,3728.0,09-12-2022,,Credit Card
4102,Trench Coat,2130.0,29-01-2023,4.8,Cash
4044,Handbag,2122.0,01-08-2023,1.2,Credit Card
4096,Poncho,2383.0,10-04-2023,,Credit Card
4017,Gloves,2895.0,17-07-2023,3.6,Credit Card
4001,Trench Coat,2952.0,13-06-2023,2.2,Cash
3976,Slippers,4069.0,18-06-2023,4.9,Credit Card
4103,Romper,4465.0,21-11-2022,,Credit Card
4081,T-shirt,2108.0,25-03-2023,,Cash
3986,Gloves,4298.0,05-04-2023,4.2,Cash
4108,Jeans,2814.0,11-02-2023,4.4,Credit Card
4109,Flip-Flops,4932.0,20-12-2022,4.0,Credit Card
4075,Tunic,4661.0,12-04-2023,1.2,Credit Card
4040,Shorts,4872.0,25-08-2023,3.8,Cash
4099,Blazer,4232.0,25-10-2022,2.7,Credit Card
3981,Boots,3718.0,10-09-2023,2.8,Credit Card
4070,Poncho,2902.0,04-08-2023,4.9,Cash
4002,Belt,3839.0,26-05-2023,1.8,Cash
4035,Tunic,4413.0,23-12-2022,1.2,Credit Card
4060,Boots,3139.0,26-01-2023,3.4,Credit Card
3974,Flip-Flops,2026.0,16-04-2023,4.0,Cash
4110,Hoodie,2653.0,11-10-2022,4.2,Credit Card
3984,Sweater,4859.0,19-12-2022,5.0,Cash
4109,Blouse,3731.0,02-03-2023,,Credit Card
4054,Swimsuit,3393.0,28-02-2023,4.3,Cash
4040,Kimono,3138.0,12-05-2023,,Credit Card
4083,Cardigan,2636.0,09-04-2023,1.7,Cash
4122,Socks,2881.0,22-02-2023,,Credit Card
3972,Pants,3378.0,06-05-2023,3.6,Cash
3980,Pajamas,2418.0,26-05-2023,2.2,Credit Card
4012,Scarf,2379.0,29-05-2023,2.9,Credit Card
3992,Backpack,101.0,13-12-2022,1.3,Credit Card
4105,Dress,164.0,20-10-2022,3.2,Credit Card
4119,Boots,21.0,03-04-2023,3.9,Cash
3957,Camisole,147.0,04-11-2022,4.7,Cash
3995,Bowtie,30.0,23-11-2022,4.1,Cash
4072,Poncho,170.0,15-10-2022,3.6,Credit Card
4093,Trousers,102.0,25-05-2023,2.1,Cash
4031,Blouse,190.0,14-01-2023,3.0,Cash
4114,Leggings,84.0,15-06-2023,3.8,Cash
4104,Backpack,69.0,27-05-2023,2.1,Cash
4071,Tunic,107.0,03-12-2022,1.5,Cash
4007,Dress,172.0,05-04-2023,1.9,Cash
4009,Flannel Shirt,51.0,16-04-2023,1.8,Cash
4038,Tie,63.0,13-02-2023,4.3,Cash
4033,Backpack,189.0,31-08-2023,4.9,Cash
4102,Cardigan,175.0,05-06-2023,3.6,Credit Card
4068,Jeans,146.0,26-08-2023,1.1,Cash
4045,Gloves,51.0,27-01-2023,2.5,Credit Card
3979,Camisole,79.0,05-06-2023,1.3,Cash
4106,Trousers,173.0,07-09-2023,3.4,Credit Card
3959,Trousers,66.0,02-11-2022,4.5,Cash
4113,Boots,24.0,20-01-2023,1.2,Credit Card
4087,Scarf,18.0,21-11-2022,1.7,Credit Card
4060,Polo Shirt,112.0,08-06-2023,1.2,Cash
3989,Sweater,64.0,13-03-2023,3.2,Credit Card
4032,Wallet,155.0,08-03-2023,1.1,Credit Card
3972,Boots,90.0,26-01-2023,4.6,Credit Card
4051,Umbrella,137.0,30-06-2023,4.6,Cash
4097,Tank Top,174.0,10-10-2022,3.4,Cash
3970,Camisole,77.0,05-01-2023,2.4,Cash
4100,Loafers,147.0,02-03-2023,3.9,Credit Card
4048,Pajamas,159.0,08-11-2022,1.2,Credit Card
3985,Flannel Shirt,159.0,05-03-2023,2.6,Cash
4029,Leggings,66.0,16-06-2023,3.7,Cash
3964,Hat,45.0,17-03-2023,4.8,Cash
4017,Bowtie,33.0,28-09-2023,3.3,Credit Card
4067,Handbag,38.0,25-05-2023,3.1,Cash
4117,Kimono,162.0,16-04-2023,1.1,Cash
4054,Socks,129.0,23-12-2022,,Cash
4060,Sweater,151.0,17-07-2023,3.2,Cash
4054,Handbag,12.0,29-12-2022,2.6,Credit Card
4068,Pants,39.0,21-03-2023,2.4,Credit Card
4096,Scarf,147.0,11-02-2023,4.1,Credit Card
4011,Blouse,174.0,21-04-2023,3.4,Cash
4001,Hoodie,85.0,17-09-2023,3.3,Cash
4078,Hat,126.0,29-06-2023,2.1,Credit Card
4005,Sun Hat,194.0,16-12-2022,2.9,Credit Card
4099,Scarf,138.0,20-05-2023,2.9,Credit Card
4055,Boots,139.0,05-01-2023,1.9,Credit Card
4049,Trench Coat,170.0,13-07-2023,,Cash
4063,Hoodie,173.0,23-06-2023,2.1,Credit Card
3996,Belt,60.0,04-03-2023,2.3,Credit Card
3989,Overalls,148.0,19-05-2023,4.1,Credit Card
3991,Blazer,145.0,03-05-2023,4.5,Credit Card
3959,Coat,163.0,09-05-2023,3.5,Credit Card
3975,Camisole,14.0,07-02-2023,3.5,Cash
3961,Boots,88.0,07-10-2022,1.2,Cash
3993,Belt,71.0,18-05-2023,4.4,Credit Card
4081,Hat,30.0,01-09-2023,1.2,Credit Card
3991,Boots,27.0,16-09-2023,2.0,Credit Card
3978,Blazer,146.0,15-01-2023,3.7,Credit Card
3992,Cardigan,42.0,14-12-2022,2.4,Credit Card
4121,Sunglasses,150.0,03-06-2023,3.4,Credit Card
4073,Handbag,165.0,28-09-2023,3.0,Credit Card
4111,Socks,64.0,15-01-2023,2.3,Credit Card
4065,Sneakers,196.0,24-03-2023,4.3,Credit Card
4116,Onesie,192.0,16-01-2023,3.6,Credit Card
4003,Hoodie,181.0,09-07-2023,1.6,Credit Card
4073,Swimsuit,122.0,25-04-2023,4.2,Credit Card
4087,Vest,125.0,02-06-2023,2.6,Credit Card
4098,Coat,96.0,21-09-2023,3.5,Credit Card
4055,Bowtie,160.0,03-04-2023,4.6,Cash
4047,Belt,28.0,07-08-2023,,Cash
4014,Trench Coat,25.0,05-12-2022,4.2,Cash
4004,Flip-Flops,18.0,21-01-2023,4.1,Credit Card
4065,Poncho,28.0,29-06-2023,3.3,Credit Card
4111,Belt,81.0,10-05-2023,1.9,Credit Card
3958,Tunic,64.0,17-06-2023,1.1,Cash
4104,Pants,195.0,02-06-2023,2.5,Cash
4084,Onesie,156.0,08-08-2023,1.3,Credit Card
4017,Jeans,72.0,28-10-2022,,Credit Card
4085,Tunic,114.0,28-04-2023,1.9,Credit Card
4096,Hoodie,118.0,17-10-2022,4.4,Cash
4104,Tunic,196.0,13-02-2023,1.2,Cash
3965,Loafers,175.0,26-06-2023,2.1,Cash
4102,Pants,96.0,31-07-2023,2.0,Credit Card
4080,Sun Hat,37.0,14-09-2023,2.4,Cash
4051,Camisole,58.0,29-01-2023,4.0,Cash
3985,Hat,45.0,31-12-2022,2.0,Credit Card
4105,Sandals,81.0,31-10-2022,4.5,Credit Card
4080,Pajamas,29.0,22-09-2023,2.4,Credit Card
3977,Overalls,150.0,22-03-2023,4.7,Cash
4091,Overalls,148.0,30-01-2023,2.7,Cash
4028,Cardigan,33.0,11-02-2023,4.3,Credit Card
4076,Pajamas,70.0,05-10-2022,3.2,Credit Card
3977,Loafers,64.0,15-10-2022,1.6,Cash
4090,Onesie,25.0,18-09-2023,2.1,Cash
4019,Blouse,126.0,15-12-2022,3.5,Credit Card
4077,Romper,188.0,01-06-2023,4.6,Credit Card
4118,Onesie,152.0,12-01-2023,1.1,Credit Card
3976,Socks,134.0,24-07-2023,2.1,Credit Card
4095,Socks,24.0,13-11-2022,1.5,Cash
4105,T-shirt,148.0,18-03-2023,,Credit Card
4113,Trench Coat,22.0,20-05-2023,1.5,Cash
3970,Camisole,138.0,09-05-2023,4.7,Cash
4044,Camisole,145.0,10-02-2023,2.4,Cash
3959,Kimono,30.0,11-03-2023,1.5,Cash
4077,Vest,27.0,08-01-2023,4.6,Credit Card
4073,Tie,182.0,16-09-2023,3.5,Cash
4088,Vest,113.0,02-09-2023,1.2,Credit Card
4103,Swimsuit,73.0,30-04-2023,2.6,Cash
4041,Pajamas,20.0,20-05-2023,4.3,Cash
4064,Kimono,117.0,31-10-2022,2.9,Cash
4047,Blazer,154.0,01-06-2023,1.7,Cash
4032,Backpack,76.0,15-06-2023,4.7,Cash
4031,Slippers,193.0,02-08-2023,1.3,Credit Card
3999,Jacket,77.0,27-05-2023,3.4,Credit Card
3966,Tie,181.0,14-06-2023,3.6,Credit Card
4109,Dress,127.0,30-09-2023,2.8,Cash
4034,Shorts,28.0,24-03-2023,3.4,Cash
4023,Sunglasses,154.0,09-02-2023,2.4,Credit Card
3972,Coat,28.0,22-12-2022,4.6,Credit Card
4118,Socks,139.0,13-05-2023,4.4,Credit Card
4078,Tunic,99.0,10-11-2022,2.3,Cash
4105,Belt,72.0,29-07-2023,1.7,Credit Card
4000,Sandals,50.0,27-09-2023,4.3,Cash
4103,Jumpsuit,149.0,16-10-2022,5.0,Cash
3970,Tunic,166.0,02-02-2023,3.1,Credit Card
4031,Camisole,177.0,28-06-2023,3.5,Cash
